Year,Organization,Unit,Value
2015,Armed Forces of Ukraine,hectares,1317.0
2016,Armed Forces of Ukraine,hectares,744.0
2017,Armed Forces of Ukraine,hectares,1178.0
2018,Armed Forces of Ukraine,hectares,425.0
2019,Armed Forces of Ukraine,hectares,987.0
2020,Armed Forces of Ukraine,hectares,531.0
2015,Armed Forces of Ukraine,"сleared roads, km",94.0
2016,Armed Forces of Ukraine,"сleared roads, km",163.0
2017,Armed Forces of Ukraine,"сleared roads, km",896.0
2018,Armed Forces of Ukraine,"сleared roads, km",203.0
2019,Armed Forces of Ukraine,"сleared roads, km",297.0
2020,Armed Forces of Ukraine,"сleared roads, km",342.0
2015,State Special Transport Service,hectares,87.0
2016,State Special Transport Service,hectares,369.0
2017,State Special Transport Service,hectares,57.0
2018,State Special Transport Service,hectares,43.0
2019,State Special Transport Service,hectares,151.0
2020,State Special Transport Service,hectares,22.0
2015,State Special Transport Service,"сleared railways, km",99.0
2016,State Special Transport Service,"сleared railways, km",225.0
2017,State Special Transport Service,"сleared railways, km",1180.0
2018,State Special Transport Service,"сleared railways, km",84.0
2019,State Special Transport Service,"сleared railways, km",114.0
2020,State Special Transport Service,"сleared railways, km",61.0
2015,State Emergency Service,hectares,7820.0
2016,State Emergency Service,hectares,5440.0
2017,State Emergency Service,hectares,6670.0
2018,State Emergency Service,hectares,5070.0
2019,State Emergency Service,hectares,4845.0
2020,State Emergency Service,hectares,2274.0
2015,"Non-governmental international organizations (The Halo Trust, DDG, FSD)",hectares,
2016,"Non-governmental international organizations (The Halo Trust, DDG, FSD)",hectares,
2017,"Non-governmental international organizations (The Halo Trust, DDG, FSD)",hectares,131.0
2018,"Non-governmental international organizations (The Halo Trust, DDG, FSD)",hectares,247.0
2019,"Non-governmental international organizations (The Halo Trust, DDG, FSD)",hectares,165.0
2020,"Non-governmental international organizations (The Halo Trust, DDG, FSD)",hectares,216.0
2015,,hectares,9224.0
2016,,hectares,6553.0
2017,,hectares,8036.0
2018,,hectares,5785.0
2019,,hectares,6148.0
2020,,hectares,2827.0
2015,,"сleared roads, km",94.0
2016,,"сleared roads, km",163.0
2017,,"сleared roads, km",896.0
2018,,"сleared roads, km",203.0
2019,,"сleared roads, km",297.0
2020,,"сleared roads, km",342.0
2015,,"сleared railways, km",99.0
2016,,"сleared railways, km",225.0
2017,,"сleared railways, km",1180.0
2018,,"сleared railways, km",84.0
2019,,"сleared railways, km",114.0
2020,,"сleared railways, km",61.0
