Year,Group,Value
2015,,177
2016,,186
2017,,191
2018,,189
2019,,187
2020,,192
2015,Vinnytsya,
2016,Vinnytsya,
2017,Vinnytsya,
2018,Vinnytsya,
2019,Vinnytsya,
2020,Vinnytsya,
2015,Volyn,
2016,Volyn,
2017,Volyn,
2018,Volyn,
2019,Volyn,
2020,Volyn,
2015,Dnipropetrovsk,
2016,Dnipropetrovsk,
2017,Dnipropetrovsk,1
2018,Dnipropetrovsk,1
2019,Dnipropetrovsk,1
2020,Dnipropetrovsk,1
2015,Donetsk,7
2016,Donetsk,7
2017,Donetsk,5
2018,Donetsk,6
2019,Donetsk,6
2020,Donetsk,8
2015,Zhytomyr,1
2016,Zhytomyr,1
2017,Zhytomyr,1
2018,Zhytomyr,1
2019,Zhytomyr,1
2020,Zhytomyr,1
2015,Zakarpattya,4
2016,Zakarpattya,4
2017,Zakarpattya,9
2018,Zakarpattya,4
2019,Zakarpattya,4
2020,Zakarpattya,4
2015,Zaporizhya,7
2016,Zaporizhya,7
2017,Zaporizhya,7
2018,Zaporizhya,7
2019,Zaporizhya,7
2020,Zaporizhya,11
2015,Ivano-Frankivsk,1
2016,Ivano-Frankivsk,2
2017,Ivano-Frankivsk,2
2018,Ivano-Frankivsk,2
2019,Ivano-Frankivsk,2
2020,Ivano-Frankivsk,1
2015,Kyiv,1
2016,Kyiv,11
2017,Kyiv,13
2018,Kyiv,19
2019,Kyiv,15
2020,Kyiv,13
2015,Kirovohrad,1
2016,Kirovohrad,
2017,Kirovohrad,1
2018,Kirovohrad,2
2019,Kirovohrad,2
2020,Kirovohrad,2
2015,Luhansk,1
2016,Luhansk,1
2017,Luhansk,1
2018,Luhansk,1
2019,Luhansk,1
2020,Luhansk,5
2015,Lviv,4
2016,Lviv,4
2017,Lviv,4
2018,Lviv,4
2019,Lviv,5
2020,Lviv,8
2015,Mykolayiv,15
2016,Mykolayiv,15
2017,Mykolayiv,15
2018,Mykolayiv,15
2019,Mykolayiv,15
2020,Mykolayiv,18
2015,Odesa,14
2016,Odesa,14
2017,Odesa,9
2018,Odesa,8
2019,Odesa,9
2020,Odesa,1
2015,Poltava,113
2016,Poltava,113
2017,Poltava,114
2018,Poltava,110
2019,Poltava,110
2020,Poltava,110
2015,Rivne,
2016,Rivne,
2017,Rivne,
2018,Rivne,
2019,Rivne,
2020,Rivne
2015,Sumy,
2016,Sumy,
2017,Sumy,
2018,Sumy,
2019,Sumy,
2020,Sumy,
2015,Ternopil,2
2016,Ternopil,2
2017,Ternopil,2
2018,Ternopil,2
2019,Ternopil,2
2020,Ternopil,
2015,Kharkiv,1
2016,Kharkiv,1
2017,Kharkiv,1
2018,Kharkiv,1
2019,Kharkiv,1
2020,Kharkiv,1
2015,Kherson,2
2016,Kherson,2
2017,Kherson,2
2018,Kherson,2
2019,Kherson,2
2020,Kherson,2
2015,Khmelnytskiy,2
2016,Khmelnytskiy,1
2017,Khmelnytskiy,3
2018,Khmelnytskiy,3
2019,Khmelnytskiy,3
2020,Khmelnytskiy,4
2015,Cherkasy,
2016,Cherkasy,
2017,Cherkasy,
2018,Cherkasy,
2019,Cherkasy,
2020,Cherkasy,
2015,Chernivtsi,
2016,Chernivtsi,
2017,Chernivtsi,
2018,Chernivtsi,
2019,Chernivtsi,
2020,Chernivtsi,1
2015,Chernihiv,1
2016,Chernihiv,1
2017,Chernihiv,1
2018,Chernihiv,1
2019,Chernihiv,1
2020,Chernihiv,1
2015,Kyiv city,
2016,Kyiv city,
2017,Kyiv city,
2018,Kyiv city,
2019,Kyiv city,
2020,Kyiv city,
