Year,Group,,Value
2019,urban,Ivano-Frankivsk,68
2020,urban,Ivano-Frankivsk,76
2015,urban,Kyiv,
2016,urban,Kyiv,65
2017,urban,Kyiv,93
2018,urban,Kyiv,109
2019,urban,Kyiv,76
2020,urban,Kyiv,77
2015,urban,Kirovohrad,
2016,urban,Kirovohrad,36
2017,urban,Kirovohrad,66
2018,urban,Kirovohrad,77
2019,urban,Kirovohrad,41
2020,urban,Kirovohrad,44
2015,urban,Luhansk,
2016,urban,Luhansk,24
2017,urban,Luhansk,44
2018,urban,Luhansk,49
2019,urban,Luhansk,30
2020,urban,Luhansk,36
2015,urban,Lviv,
2016,urban,Lviv,68
2017,urban,Lviv,87
2018,urban,Lviv,103
2019,urban,Lviv,67
2020,urban,Lviv,73
2015,urban,Mykolayiv,
2016,urban,Mykolayiv,64
2017,urban,Mykolayiv,90
2018,urban,Mykolayiv,102
2019,urban,Mykolayiv,55
2020,urban,Mykolayiv,55
2015,urban,Odesa,
2016,urban,Odesa,139
2017,urban,Odesa,156
2018,urban,Odesa,165
2019,urban,Odesa,80
2020,urban,Odesa,89
2015,urban,Poltava,
2016,urban,Poltava,41
2017,urban,Poltava,69
2018,urban,Poltava,81
2019,urban,Poltava,51
2020,urban,Poltava,50
2015,urban,Rivne,
2016,urban,Rivne,55
2017,urban,Rivne,88
2018,urban,Rivne,103
2019,urban,Rivne,71
2020,urban,Rivne,77
2015,urban,Sumy,
2016,urban,Sumy,36
2017,urban,Sumy,62
2018,urban,Sumy,72
2019,urban,Sumy,64
2020,urban,Sumy,65
2015,urban,Ternopil,
2016,urban,Ternopil,50
2017,urban,Ternopil,88
2018,urban,Ternopil,100
2019,urban,Ternopil,55
2020,urban,Ternopil,57
2015,urban,Kharkiv,
2016,urban,Kharkiv,43
2017,urban,Kharkiv,62
2018,urban,Kharkiv,72
2019,urban,Kharkiv,45
2020,urban,Kharkiv,44
2015,urban,Kherson,
2016,urban,Kherson,42
2017,urban,Kherson,72
2018,urban,Kherson,81
2019,urban,Kherson,60
2020,urban,Kherson,60
2015,urban,Khmelnytskiy,
2016,urban,Khmelnytskiy,47
2017,urban,Khmelnytskiy,78
2018,urban,Khmelnytskiy,89
2019,urban,Khmelnytskiy,76
2020,urban,Khmelnytskiy,77
2015,urban,Cherkasy,
2016,urban,Cherkasy,67
2017,urban,Cherkasy,95
2018,urban,Cherkasy,99
2019,urban,Cherkasy,51
2020,urban,Cherkasy,52
2015,urban,Chernivtsi,
2016,urban,Chernivtsi,48
2017,urban,Chernivtsi,89
2018,urban,Chernivtsi,103
2019,urban,Chernivtsi,54
2020,urban,Chernivtsi,42
2015,urban,Chernihiv,
2016,urban,Chernihiv,64
2017,urban,Chernihiv,89
2018,urban,Chernihiv,101
2019,urban,Chernihiv,45
2020,urban,Chernihiv,54
2015,urban,Kyiv city,
2016,urban,Kyiv city,
2017,urban,Kyiv city,
2018,urban,Kyiv city,
2019,urban,Kyiv city,78
2020,urban,Kyiv city,86
2015,rural,,
2016,rural,,3
2017,rural,,5
2018,rural,,5
2019,rural,,22
2020,rural,,34
2015,rural,Vinnytsya,
2016,rural,Vinnytsya,3
2017,rural,Vinnytsya,4
2018,rural,Vinnytsya,4
2019,rural,Vinnytsya,13
2020,rural,Vinnytsya,21
2015,rural,Volyn,
2016,rural,Volyn,2
2017,rural,Volyn,2
2018,rural,Volyn,2
2019,rural,Volyn,41
2020,rural,Volyn,46
2015,rural,Dnipropetrovsk,
2016,rural,Dnipropetrovsk,3
2017,rural,Dnipropetrovsk,3
2018,rural,Dnipropetrovsk,3
2019,rural,Dnipropetrovsk,26
2020,rural,Dnipropetrovsk,39
2015,rural,Donetsk,
2016,rural,Donetsk,3
2017,rural,Donetsk,4
2018,rural,Donetsk,4
2019,rural,Donetsk,17
2020,rural,Donetsk,34
2015,rural,Zhytomyr,
2016,rural,Zhytomyr,3
2017,rural,Zhytomyr,4
2018,rural,Zhytomyr,6
2019,rural,Zhytomyr,13
2020,rural,Zhytomyr,26
2015,rural,Zakarpattya,
2016,rural,Zakarpattya,2
2017,rural,Zakarpattya,2
2018,rural,Zakarpattya,3
2019,rural,Zakarpattya,24
2020,rural,Zakarpattya,28
2015,rural,Zaporizhya,
2016,rural,Zaporizhya,4
2017,rural,Zaporizhya,6
2018,rural,Zaporizhya,6
2019,rural,Zaporizhya,32
