Year,Group,Value
2015,1_pop,5
2016,1_pop,10
2017,1_pop,12
2018,1_pop,16
2019,1_pop,17
2020,1_pop,
2021,1_pop,10
2022,1_pop,
2023,1_pop,
2015,2_particip,16
2016,2_particip,13
2017,2_particip,28
2018,2_particip,34
2019,2_particip,
2020,2_particip,
2021,2_particip,11
2022,2_particip,
2023,2_particip,
2015,3_exper,
2016,3_exper,
2017,3_exper,38
2018,3_exper,41
2019,3_exper,44
2020,3_exper,
2021,3_exper,27
2022,3_exper,
2023,3_exper,
