Year,Ec_activ,Value
2015,,875.1
2016,,698.3
2017,,997.3
2018,,952
2019,,737.2
2020,,518.35
2015,indu,481.3
2016,indu,327.3
2017,indu,311.1
2018,indu,301.4
2019,indu,91.54
2020,indu,107.373
2015,agri,24.68
2016,agri,22.31
2017,agri,28.9
2018,agri,15.37
2019,agri,46.5
2020,agri,24.581
2015,fores,
2016,fores,
2017,fores,
2018,fores,
2019,fores,
2020,fores,
2015,transp,3.08
2016,transp,2.05
2017,transp,1.95
2018,transp,2.79
2019,transp,0.398
2020,transp,0.541
2015,commun,
2016,commun,
2017,commun,
2018,commun,
2019,commun,
2020,commun,
2015,constr,0.95
2016,constr,
2017,constr,
2018,constr,
2019,constr,0.004
2020,constr,2.406
2015,trade,55.22
2016,trade,50.72
2017,trade,46.18
2018,trade,45.73
2019,trade,33.88
2020,trade,0.062
2015,logis,0.02
2016,logis,0.02
2017,logis,0.03
2018,logis,0.04
2019,logis,0.024
2020,logis,0.227
2015,resid,308.1
2016,resid,294.3
2017,resid,607.5
2018,resid,585.3
2019,resid,563.7
2020,resid,381.316
2015,care,0.75
2016,care,0.72
2017,care,0.94
2018,care,0.73
2019,care,0.544
2020,care,0.457
2015,pub_ed,0.39
2016,pub_ed,0.35
2017,pub_ed,0.34
2018,pub_ed,0.34
2019,pub_ed,0.369
2020,pub_ed,0.254
2015,oth_sec,0.62
2016,oth_sec,0.53
2017,oth_sec,0.36
2018,oth_sec,0.3
2019,oth_sec,0.241
2020,oth_sec,1.135
