Year,Region,Value
2015,,31.2
2016,,30.4
2017,,24.7
2018,,29.6
2019,,45.8
2020,,70.2
2015,Vinnytsya,
2016,Vinnytsya,
2017,Vinnytsya,
2018,Vinnytsya,
2019,Vinnytsya,64.4
2020,Vinnytsya,76.4
2015,Volyn,
2016,Volyn,
2017,Volyn,
2018,Volyn,
2019,Volyn,41.2
2020,Volyn,40.5
2015,Dnipropetrovsk,
2016,Dnipropetrovsk,
2017,Dnipropetrovsk,
2018,Dnipropetrovsk,
2019,Dnipropetrovsk,56.4
2020,Dnipropetrovsk,79.3
2015,Donetsk,
2016,Donetsk,
2017,Donetsk,
2018,Donetsk,
2019,Donetsk,43.2
2020,Donetsk,63.3
2015,Zhytomyr,
2016,Zhytomyr,
2017,Zhytomyr,
2018,Zhytomyr,
2019,Zhytomyr,42.9
2020,Zhytomyr,50.7
2015,Zakarpattya,
2016,Zakarpattya,
2017,Zakarpattya,
2018,Zakarpattya,
2019,Zakarpattya,35.2
2020,Zakarpattya,35.9
2015,Zaporizhya,
2016,Zaporizhya,
2017,Zaporizhya,
2018,Zaporizhya,
2019,Zaporizhya,47.8
2020,Zaporizhya,91.7
2015,Ivano-Frankivsk,
2016,Ivano-Frankivsk,
2017,Ivano-Frankivsk,
2018,Ivano-Frankivsk,
2019,Ivano-Frankivsk,34.5
2020,Ivano-Frankivsk,50.7
2015,Kyiv,
2016,Kyiv,
2017,Kyiv,
2018,Kyiv,
2019,Kyiv,33.6
2020,Kyiv,45.0
2015,Kirovohrad,
2016,Kirovohrad,
2017,Kirovohrad,
2018,Kirovohrad,
2019,Kirovohrad,33.0
2020,Kirovohrad,59.3
2015,Luhansk,
2016,Luhansk,
2017,Luhansk,
2018,Luhansk,
2019,Luhansk,49.2
2020,Luhansk,69.2
2015,Lviv,
2016,Lviv,
2017,Lviv,
2018,Lviv,
2019,Lviv,35.5
2020,Lviv,50.5
2015,Mykolayiv,
2016,Mykolayiv,
2017,Mykolayiv,
2018,Mykolayiv,
2019,Mykolayiv,46.2
2020,Mykolayiv,84.4
2015,Odesa,
2016,Odesa,
2017,Odesa,
2018,Odesa,
2019,Odesa,50.1
2020,Odesa,132.5
2015,Poltava,
2016,Poltava,
2017,Poltava,
2018,Poltava,
2019,Poltava,35.8
2020,Poltava,47.7
2015,Rivne,
2016,Rivne,
2017,Rivne,
2018,Rivne,
2019,Rivne,34.7
2020,Rivne,42.3
2015,Sumy,
2016,Sumy,
2017,Sumy,
2018,Sumy,
2019,Sumy,42.6
2020,Sumy,55.3
2015,Ternopil,
2016,Ternopil,
2017,Ternopil,
2018,Ternopil,
2019,Ternopil,52.1
2020,Ternopil,52.2
2015,Kharkiv,
2016,Kharkiv,
2017,Kharkiv,
2018,Kharkiv,
2019,Kharkiv,39.0
2020,Kharkiv,66.2
2015,Kherson,
2016,Kherson,
2017,Kherson,
2018,Kherson,
2019,Kherson,41.8
2020,Kherson,110.5
2015,Khmelnytskiy,
2016,Khmelnytskiy,
2017,Khmelnytskiy,
2018,Khmelnytskiy,
2019,Khmelnytskiy,69.2
2020,Khmelnytskiy,68.6
2015,Cherkasy,
2016,Cherkasy,
2017,Cherkasy,
2018,Cherkasy,
2019,Cherkasy,37.0
2020,Cherkasy,49.7
2015,Chernivtsi,
2016,Chernivtsi,
2017,Chernivtsi,
2018,Chernivtsi,
2019,Chernivtsi,30.7
2020,Chernivtsi,41.3
2015,Chernihiv,
2016,Chernihiv,
2017,Chernihiv,
2018,Chernihiv,
2019,Chernihiv,45.1
2020,Chernihiv,51.2
2015,Kyiv city,
2016,Kyiv city,
2017,Kyiv city,
2018,Kyiv city,
2019,Kyiv city,85.6
2020,Kyiv city,209.7
