Year,Ratio of GHG emissions to 1990 level,Value
2015,all,33.9
2016,all,35.8
2017,all,34.3
2018,all,36.1
2019,all,35.2
2020,all,
2015,"by main types of sources, including road transport",27.8
2016,"by main types of sources, including road transport",29.4
2017,"by main types of sources, including road transport",31.3
2018,"by main types of sources, including road transport",31.3
2019,"by main types of sources, including road transport",33.8
2020,"by main types of sources, including road transport",
