Year,Місцевість проживання,Область,Value
2018,міська,Закарпатська,121.0
2019,міська,Закарпатська,52.0
2020,міська,Закарпатська,51.0
2015,міська,Запорізька,
2016,міська,Запорізька,44.0
2017,міська,Запорізька,65.0
2018,міська,Запорізька,64.0
2019,міська,Запорізька,59.0
2020,міська,Запорізька,65.0
2015,міська,Івано-Франківська,
2016,міська,Івано-Франківська,50.0
2017,міська,Івано-Франківська,89.0
2018,міська,Івано-Франківська,103.0
2019,міська,Івано-Франківська,68.0
2020,міська,Івано-Франківська,76.0
2015,міська,Київська,
2016,міська,Київська,65.0
2017,міська,Київська,93.0
2018,міська,Київська,109.0
2019,міська,Київська,76.0
2020,міська,Київська,77.0
2015,міська,Кіровоградська,
2016,міська,Кіровоградська,36.0
2017,міська,Кіровоградська,66.0
2018,міська,Кіровоградська,77.0
2019,міська,Кіровоградська,41.0
2020,міська,Кіровоградська,44.0
2015,міська,Луганська,
2016,міська,Луганська,24.0
2017,міська,Луганська,44.0
2018,міська,Луганська,49.0
2019,міська,Луганська,30.0
2020,міська,Луганська,36.0
2015,міська,Львівська,
2016,міська,Львівська,68.0
2017,міська,Львівська,87.0
2018,міська,Львівська,103.0
2019,міська,Львівська,67.0
2020,міська,Львівська,73.0
2015,міська,Миколаївська,
2016,міська,Миколаївська,64.0
2017,міська,Миколаївська,90.0
2018,міська,Миколаївська,102.0
2019,міська,Миколаївська,55.0
2020,міська,Миколаївська,55.0
2015,міська,Одеська,
2016,міська,Одеська,139.0
2017,міська,Одеська,156.0
2018,міська,Одеська,165.0
2019,міська,Одеська,80.0
2020,міська,Одеська,89.0
2015,міська,Полтавська,
2016,міська,Полтавська,41.0
2017,міська,Полтавська,69.0
2018,міська,Полтавська,81.0
2019,міська,Полтавська,51.0
2020,міська,Полтавська,50.0
2015,міська,Рівненська,
2016,міська,Рівненська,55.0
2017,міська,Рівненська,88.0
2018,міська,Рівненська,103.0
2019,міська,Рівненська,71.0
2020,міська,Рівненська,77.0
2015,міська,Сумська,
2016,міська,Сумська,36.0
2017,міська,Сумська,62.0
2018,міська,Сумська,72.0
2019,міська,Сумська,64.0
2020,міська,Сумська,65.0
2015,міська,Тернопільська,
2016,міська,Тернопільська,50.0
2017,міська,Тернопільська,88.0
2018,міська,Тернопільська,100.0
2019,міська,Тернопільська,55.0
2020,міська,Тернопільська,57.0
2015,міська,Харківська,
2016,міська,Харківська,43.0
2017,міська,Харківська,62.0
2018,міська,Харківська,72.0
2019,міська,Харківська,45.0
2020,міська,Харківська,44.0
2015,міська,Херсонська,
2016,міська,Херсонська,42.0
2017,міська,Херсонська,72.0
2018,міська,Херсонська,81.0
2019,міська,Херсонська,60.0
2020,міська,Херсонська,60.0
2015,міська,Хмельницька,
2016,міська,Хмельницька,47.0
2017,міська,Хмельницька,78.0
2018,міська,Хмельницька,89.0
2019,міська,Хмельницька,76.0
2020,міська,Хмельницька,77.0
2015,міська,Черкаська,
2016,міська,Черкаська,67.0
2017,міська,Черкаська,95.0
2018,міська,Черкаська,99.0
2019,міська,Черкаська,51.0
2020,міська,Черкаська,52.0
2015,міська,Чернівецька,
2016,міська,Чернівецька,48.0
2017,міська,Чернівецька,89.0
2018,міська,Чернівецька,103.0
2019,міська,Чернівецька,54.0
2020,міська,Чернівецька,42.0
2015,міська,Чернігівська,
2016,міська,Чернігівська,64.0
2017,міська,Чернігівська,89.0
2018,міська,Чернігівська,101.0
2019,міська,Чернігівська,45.0
2020,міська,Чернігівська,54.0
2015,міська,місто Київ,
2016,міська,місто Київ,
2017,міська,місто Київ,
2018,міська,місто Київ,
2019,міська,місто Київ,78.0
2020,міська,місто Київ,86.0
2015,сільська,,
2016,сільська,,3.0
2017,сільська,,5.0
2018,сільська,,5.0
2019,сільська,,22.0
2020,сільська,,34.0
2015,сільська,Вінницька,
2016,сільська,Вінницька,3.0
2017,сільська,Вінницька,4.0
2018,сільська,Вінницька,4.0
2019,сільська,Вінницька,13.0
2020,сільська,Вінницька,21.0
2015,сільська,Волинська,
2016,сільська,Волинська,2.0
2017,сільська,Волинська,2.0
2018,сільська,Волинська,2.0
2019,сільська,Волинська,41.0
2020,сільська,Волинська,46.0
2015,сільська,Дніпропетровська,
2016,сільська,Дніпропетровська,3.0
2017,сільська,Дніпропетровська,3.0
2018,сільська,Дніпропетровська,3.0
2019,сільська,Дніпропетровська,26.0
2020,сільська,Дніпропетровська,39.0
2015,сільська,Донецька,
2016,сільська,Донецька,3.0
2017,сільська,Донецька,4.0
2018,сільська,Донецька,4.0
2019,сільська,Донецька,17.0
2020,сільська,Донецька,34.0
2015,сільська,Житомирська,
2016,сільська,Житомирська,3.0
2017,сільська,Житомирська,4.0
2018,сільська,Житомирська,6.0
2019,сільська,Житомирська,13.0
2020,сільська,Житомирська,26.0
2015,сільська,Закарпатська,
2016,сільська,Закарпатська,2.0
2017,сільська,Закарпатська,2.0
2018,сільська,Закарпатська,3.0
2019,сільська,Закарпатська,24.0
2020,сільська,Закарпатська,28.0
2015,сільська,Запорізька,
2016,сільська,Запорізька,4.0
2017,сільська,Запорізька,6.0
2018,сільська,Запорізька,6.0
2019,сільська,Запорізька,32.0
2020,сільська,Запорізька,38.0
2015,сільська,Івано-Франківська,
2016,сільська,Івано-Франківська,3.0
2017,сільська,Івано-Франківська,4.0
2018,сільська,Івано-Франківська,4.0
2019,сільська,Івано-Франківська,21.0
2020,сільська,Івано-Франківська,34.0
2015,сільська,Київська,
2016,сільська,Київська,3.0
2017,сільська,Київська,3.0
2018,сільська,Київська,3.0
2019,сільська,Київська,60.0
2020,сільська,Київська,74.0
2015,сільська,Кіровоградська,
2016,сільська,Кіровоградська,1.0
2017,сільська,Кіровоградська,2.0
2018,сільська,Кіровоградська,2.0
2019,сільська,Кіровоградська,10.0
2020,сільська,Кіровоградська,16.0
2015,сільська,Луганська,
2016,сільська,Луганська,1.0
2017,сільська,Луганська,1.0
2018,сільська,Луганська,1.0
2019,сільська,Луганська,16.0
2020,сільська,Луганська,22.0
2015,сільська,Львівська,
2016,сільська,Львівська,4.0
2017,сільська,Львівська,6.0
2018,сільська,Львівська,8.0
2019,сільська,Львівська,32.0
2020,сільська,Львівська,49.0
2015,сільська,Миколаївська,
2016,сільська,Миколаївська,1.0
2017,сільська,Миколаївська,2.0
2018,сільська,Миколаївська,2.0
2019,сільська,Миколаївська,15.0
2020,сільська,Миколаївська,27.0
2015,сільська,Одеська,
2016,сільська,Одеська,6.0
2017,сільська,Одеська,6.0
2018,сільська,Одеська,7.0
2019,сільська,Одеська,19.0
2020,сільська,Одеська,30.0
2015,сільська,Полтавська,
2016,сільська,Полтавська,6.0
2017,сільська,Полтавська,8.0
2018,сільська,Полтавська,8.0
2019,сільська,Полтавська,13.0
2020,сільська,Полтавська,31.0
2015,сільська,Рівненська,
2016,сільська,Рівненська,3.0
2017,сільська,Рівненська,5.0
2018,сільська,Рівненська,4.0
2019,сільська,Рівненська,25.0
2020,сільська,Рівненська,36.0
2015,сільська,Сумська,
2016,сільська,Сумська,2.0
2017,сільська,Сумська,2.0
2018,сільська,Сумська,3.0
2019,сільська,Сумська,12.0
2020,сільська,Сумська,23.0
2015,сільська,Тернопільська,
2016,сільська,Тернопільська,4.0
2017,сільська,Тернопільська,5.0
2018,сільська,Тернопільська,7.0
2019,сільська,Тернопільська,41.0
2020,сільська,Тернопільська,49.0
2015,сільська,Харківська,
2016,сільська,Харківська,2.0
2017,сільська,Харківська,4.0
2018,сільська,Харківська,4.0
2019,сільська,Харківська,15.0
2020,сільська,Харківська,25.0
2015,сільська,Херсонська,
2016,сільська,Херсонська,3.0
2017,сільська,Херсонська,4.0
2018,сільська,Херсонська,5.0
2019,сільська,Херсонська,21.0
2020,сільська,Херсонська,44.0
2015,сільська,Хмельницька,
2016,сільська,Хмельницька,1.0
2017,сільська,Хмельницька,2.0
2018,сільська,Хмельницька,3.0
2019,сільська,Хмельницька,14.0
2020,сільська,Хмельницька,24.0
2015,сільська,Черкаська,
2016,сільська,Черкаська,2.0
2017,сільська,Черкаська,3.0
2018,сільська,Черкаська,3.0
2019,сільська,Черкаська,12.0
2020,сільська,Черкаська,28.0
2015,сільська,Чернівецька,
2016,сільська,Чернівецька,3.0
2017,сільська,Чернівецька,4.0
2018,сільська,Чернівецька,3.0
2019,сільська,Чернівецька,14.0
2020,сільська,Чернівецька,19.0
2015,сільська,Чернігівська,
2016,сільська,Чернігівська,3.0
2017,сільська,Чернігівська,3.0
2018,сільська,Чернігівська,4.0
2019,сільська,Чернігівська,8.0
2020,сільська,Чернігівська,12.0
2015,сільська,місто Київ,
2016,сільська,місто Київ,
2017,сільська,місто Київ,
2018,сільська,місто Київ,
2019,сільська,місто Київ,
2020,сільська,місто Київ,
