Year,Region,Value
2015,,100
2016,,104
2017,,101
2018,,97
2019,,91
2020,,85
2021,,80
2015,11_reg_Vinnytsya,100
2016,11_reg_Vinnytsya,109
2017,11_reg_Vinnytsya,98
2018,11_reg_Vinnytsya,122
2019,11_reg_Vinnytsya,115
2020,11_reg_Vinnytsya,90
2021,11_reg_Vinnytsya,106
2015,12_reg_Volyn,100
2016,12_reg_Volyn,92
2017,12_reg_Volyn,87
2018,12_reg_Volyn,90
2019,12_reg_Volyn,98
2020,12_reg_Volyn,65
2021,12_reg_Volyn,78
2015,13_reg_Dnipropetrovsk,100
2016,13_reg_Dnipropetrovsk,119
2017,13_reg_Dnipropetrovsk,116
2018,13_reg_Dnipropetrovsk,99
2019,13_reg_Dnipropetrovsk,100
2020,13_reg_Dnipropetrovsk,71
2021,13_reg_Dnipropetrovsk,72
2015,14_reg_Donetsk,100
2016,14_reg_Donetsk,99
2017,14_reg_Donetsk,90
2018,14_reg_Donetsk,84
2019,14_reg_Donetsk,70
2020,14_reg_Donetsk,61
2021,14_reg_Donetsk,67
2015,15_reg_Zhytomyr,100
2016,15_reg_Zhytomyr,126
2017,15_reg_Zhytomyr,107
2018,15_reg_Zhytomyr,111
2019,15_reg_Zhytomyr,96
2020,15_reg_Zhytomyr,76
2021,15_reg_Zhytomyr,112
2015,16_reg_Zakarpattya,100
2016,16_reg_Zakarpattya,95
2017,16_reg_Zakarpattya,124
2018,16_reg_Zakarpattya,138
2019,16_reg_Zakarpattya,92
2020,16_reg_Zakarpattya,95
2021,16_reg_Zakarpattya,122
2015,17_reg_Zaporizhzhya,100
2016,17_reg_Zaporizhzhya,104
2017,17_reg_Zaporizhzhya,110
2018,17_reg_Zaporizhzhya,104
2019,17_reg_Zaporizhzhya,73
2020,17_reg_Zaporizhzhya,69
2021,17_reg_Zaporizhzhya,66
2015,18_reg_Ivano-Frankivsk,100
2016,18_reg_Ivano-Frankivsk,77
2017,18_reg_Ivano-Frankivsk,107
2018,18_reg_Ivano-Frankivsk,117
2019,18_reg_Ivano-Frankivsk,102
2020,18_reg_Ivano-Frankivsk,93
2021,18_reg_Ivano-Frankivsk,140
2015,19_reg_Kyiv,100
2016,19_reg_Kyiv,54
2017,19_reg_Kyiv,60
2018,19_reg_Kyiv,50
2019,19_reg_Kyiv,61
2020,19_reg_Kyiv,101
2021,19_reg_Kyiv,64
2015,20_reg_Kirovohrad,100
2016,20_reg_Kirovohrad,145
2017,20_reg_Kirovohrad,220
2018,20_reg_Kirovohrad,169
2019,20_reg_Kirovohrad,192
2020,20_reg_Kirovohrad,106
2021,20_reg_Kirovohrad,74
2015,21_reg_Luhansk,100
2016,21_reg_Luhansk,122
2017,21_reg_Luhansk,80
2018,21_reg_Luhansk,116
2019,21_reg_Luhansk,91
2020,21_reg_Luhansk,192
2021,21_reg_Luhansk,153
2015,22_reg_Lviv,100
2016,22_reg_Lviv,95
2017,22_reg_Lviv,99
2018,22_reg_Lviv,81
2019,22_reg_Lviv,79
2020,22_reg_Lviv,103
2021,22_reg_Lviv,69
2015,23_reg_Mykolayiv,100
2016,23_reg_Mykolayiv,130
2017,23_reg_Mykolayiv,109
2018,23_reg_Mykolayiv,132
2019,23_reg_Mykolayiv,135
2020,23_reg_Mykolayiv,64
2021,23_reg_Mykolayiv,63
2015,24_reg_Odesa,100
2016,24_reg_Odesa,100
2017,24_reg_Odesa,106
2018,24_reg_Odesa,104
2019,24_reg_Odesa,109
2020,24_reg_Odesa,86
2021,24_reg_Odesa,114
2015,25_reg_Poltava,100
2016,25_reg_Poltava,97
2017,25_reg_Poltava,90
2018,25_reg_Poltava,83
2019,25_reg_Poltava,86
2020,25_reg_Poltava,100
2021,25_reg_Poltava,85
2015,26_reg_Rivne,100
2016,26_reg_Rivne,127
2017,26_reg_Rivne,113
2018,26_reg_Rivne,113
2019,26_reg_Rivne,79
2020,26_reg_Rivne,89
2021,26_reg_Rivne,90
2015,27_reg_Sumy,100
2016,27_reg_Sumy,90
2017,27_reg_Sumy,85
2018,27_reg_Sumy,68
2019,27_reg_Sumy,95
2020,27_reg_Sumy,84
2021,27_reg_Sumy,72
2015,28_reg_Ternopil,100
2016,28_reg_Ternopil,88
2017,28_reg_Ternopil,119
2018,28_reg_Ternopil,142
2019,28_reg_Ternopil,129
2020,28_reg_Ternopil,73
2021,28_reg_Ternopil,67
