Year,Region,Value
2015,29_reg_Kharkiv,100
2016,29_reg_Kharkiv,129
2017,29_reg_Kharkiv,99
2018,29_reg_Kharkiv,107
2019,29_reg_Kharkiv,99
2020,29_reg_Kharkiv,115
2021,29_reg_Kharkiv,85
2015,30_reg_Kherson,100
2016,30_reg_Kherson,96
2017,30_reg_Kherson,107
2018,30_reg_Kherson,110
2019,30_reg_Kherson,95
2020,30_reg_Kherson,199
2021,30_reg_Kherson,67
2015,31_reg_Khmelnytskiy,100
2016,31_reg_Khmelnytskiy,124
2017,31_reg_Khmelnytskiy,122
2018,31_reg_Khmelnytskiy,121
2019,31_reg_Khmelnytskiy,131
2020,31_reg_Khmelnytskiy,110
2021,31_reg_Khmelnytskiy,86
2015,32_reg_Cherkasy,100
2016,32_reg_Cherkasy,77
2017,32_reg_Cherkasy,82
2018,32_reg_Cherkasy,82
2019,32_reg_Cherkasy,74
2020,32_reg_Cherkasy,117
2021,32_reg_Cherkasy,128
2015,33_reg_Chernivtsi,100
2016,33_reg_Chernivtsi,120
2017,33_reg_Chernivtsi,113
2018,33_reg_Chernivtsi,120
2019,33_reg_Chernivtsi,127
2020,33_reg_Chernivtsi,68
2021,33_reg_Chernivtsi,78
2015,34_reg_Chernihiv,100
2016,34_reg_Chernihiv,105
2017,34_reg_Chernihiv,99
2018,34_reg_Chernihiv,98
2019,34_reg_Chernihiv,94
2020,34_reg_Chernihiv,120
2021,34_reg_Chernihiv,117
2015,35_reg_Kyiv_city,100
2016,35_reg_Kyiv_city,105
2017,35_reg_Kyiv_city,106
2018,35_reg_Kyiv_city,91
2019,35_reg_Kyiv_city,86
2020,35_reg_Kyiv_city,69
2021,35_reg_Kyiv_city,85
