Year,Область,Value
2015,,64.0
2016,,63.0
2017,,62.3
2018,,62.1
2019,,57.3
2020,,60.8
2021,,64.5
2015,Вінницька,53.4
2016,Вінницька,44.8
2017,Вінницька,47.1
2018,Вінницька,50.5
2019,Вінницька,51.8
2020,Вінницька,57.5
2021,Вінницька,52.0
2015,Волинська,60.3
2016,Волинська,66.0
2017,Волинська,58.1
2018,Волинська,52.5
2019,Волинська,43.1
2020,Волинська,50.7
2021,Волинська,56.5
2015,Дніпропетровська,67.5
2016,Дніпропетровська,66.9
2017,Дніпропетровська,64.3
2018,Дніпропетровська,69.5
2019,Дніпропетровська,63.2
2020,Дніпропетровська,70.0
2021,Дніпропетровська,72.8
2015,Донецька,
2016,Донецька,
2017,Донецька,
2018,Донецька,
2019,Донецька,
2020,Донецька,
2021,Донецька,
2015,Житомирська,64.4
2016,Житомирська,64.5
2017,Житомирська,64.0
2018,Житомирська,55.9
2019,Житомирська,58.8
2020,Житомирська,61.0
2021,Житомирська,68.5
2015,Закарпатська,44.2
2016,Закарпатська,49.6
2017,Закарпатська,44.7
2018,Закарпатська,54.3
2019,Закарпатська,44.8
2020,Закарпатська,50.1
2021,Закарпатська,44.4
2015,Запорізька,76.3
2016,Запорізька,78.5
2017,Запорізька,75.2
2018,Запорізька,76.4
2019,Запорізька,68.8
2020,Запорізька,69.9
2021,Запорізька,85.8
2015,Івано-Франківська,47.0
2016,Івано-Франківська,43.8
2017,Івано-Франківська,46.9
2018,Івано-Франківська,44.7
2019,Івано-Франківська,46.4
2020,Івано-Франківська,41.3
2021,Івано-Франківська,39.6
2015,Київська,66.9
2016,Київська,64.7
2017,Київська,64.8
2018,Київська,69.0
2019,Київська,62.3
2020,Київська,65.5
2021,Київська,68.2
2015,Кіровоградська,77.0
2016,Кіровоградська,72.0
2017,Кіровоградська,80.5
2018,Кіровоградська,78.9
2019,Кіровоградська,64.7
2020,Кіровоградська,67.1
2021,Кіровоградська,83.7
2015,Луганська,
2016,Луганська,
2017,Луганська,
2018,Луганська,
2019,Луганська,
2020,Луганська,
2021,Луганська,
2015,Львівська,55.4
2016,Львівська,52.7
2017,Львівська,53.5
2018,Львівська,55.9
2019,Львівська,49.2
2020,Львівська,57.2
2021,Львівська,57.1
2015,Миколаївська,61.3
2016,Миколаївська,68.4
2017,Миколаївська,64.5
2018,Миколаївська,62.8
2019,Миколаївська,57.1
2020,Миколаївська,55.7
2021,Миколаївська,60.3
2015,Одеська,73.2
2016,Одеська,67.5
2017,Одеська,65.0
2018,Одеська,65.2
2019,Одеська,61.7
2020,Одеська,59.6
2021,Одеська,68.6
2015,Полтавська,74.4
2016,Полтавська,80.6
2017,Полтавська,76.1
2018,Полтавська,72.0
2019,Полтавська,65.2
2020,Полтавська,74.9
2021,Полтавська,78.1
2015,Рівненська,63.3
2016,Рівненська,64.5
2017,Рівненська,51.1
2018,Рівненська,46.8
2019,Рівненська,60.0
2020,Рівненська,58.9
2021,Рівненська,66.0
2015,Сумська,72.6
2016,Сумська,78.3
2017,Сумська,82.8
2018,Сумська,72.5
2019,Сумська,69.6
2020,Сумська,81.4
2021,Сумська,89.4
2015,Тернопільська,40.6
2016,Тернопільська,49.3
2017,Тернопільська,48.3
2018,Тернопільська,55.5
2019,Тернопільська,43.5
2020,Тернопільська,41.4
2021,Тернопільська,51.6
2015,Харківська,73.1
2016,Харківська,70.4
2017,Харківська,72.7
2018,Харківська,68.7
2019,Харківська,61.8
2020,Харківська,67.8
2021,Харківська,66.5
2015,Херсонська,93.1
2016,Херсонська,85.5
2017,Херсонська,88.9
2018,Херсонська,94.3
2019,Херсонська,81.0
2020,Херсонська,90.0
2021,Херсонська,77.4
2015,Хмельницька,62.5
2016,Хмельницька,58.3
2017,Хмельницька,54.6
2018,Хмельницька,62.5
2019,Хмельницька,48.7
2020,Хмельницька,50.1
2021,Хмельницька,58.7
2015,Черкаська,68.3
2016,Черкаська,62.2
2017,Черкаська,73.4
2018,Черкаська,60.9
2019,Черкаська,60.3
2020,Черкаська,73.1
2021,Черкаська,70.9
2015,Чернівецька,33.9
2016,Чернівецька,45.9
2017,Чернівецька,40.8
2018,Чернівецька,39.5
2019,Чернівецька,36.3
2020,Чернівецька,40.5
2021,Чернівецька,33.7
2015,Чернігівська,89.9
2016,Чернігівська,78.7
2017,Чернігівська,82.1
2018,Чернігівська,75.4
2019,Чернігівська,67.9
2020,Чернігівська,70.4
2021,Чернігівська,81.6
2015,місто Київ,50.7
2016,місто Київ,48.1
2017,місто Київ,46.3
2018,місто Київ,45.9
2019,місто Київ,48.0
2020,місто Київ,43.5
2021,місто Київ,52.7
