Year,Область,Value
2015,,31.2
2016,,30.4
2017,,24.7
2018,,29.6
2019,,45.8
2020,,70.2
2015,Вінницька,
2016,Вінницька,
2017,Вінницька,
2018,Вінницька,
2019,Вінницька,64.4
2020,Вінницька,76.4
2015,Волинська,
2016,Волинська,
2017,Волинська,
2018,Волинська,
2019,Волинська,41.2
2020,Волинська,40.5
2015,Дніпропетровська,
2016,Дніпропетровська,
2017,Дніпропетровська,
2018,Дніпропетровська,
2019,Дніпропетровська,56.4
2020,Дніпропетровська,79.3
2015,Донецька,
2016,Донецька,
2017,Донецька,
2018,Донецька,
2019,Донецька,43.2
2020,Донецька,63.3
2015,Житомирська,
2016,Житомирська,
2017,Житомирська,
2018,Житомирська,
2019,Житомирська,42.9
2020,Житомирська,50.7
2015,Закарпатська,
2016,Закарпатська,
2017,Закарпатська,
2018,Закарпатська,
2019,Закарпатська,35.2
2020,Закарпатська,35.9
2015,Запорізька,
2016,Запорізька,
2017,Запорізька,
2018,Запорізька,
2019,Запорізька,47.8
2020,Запорізька,91.7
2015,Івано-Франківська,
2016,Івано-Франківська,
2017,Івано-Франківська,
2018,Івано-Франківська,
2019,Івано-Франківська,34.5
2020,Івано-Франківська,50.7
2015,Київська,
2016,Київська,
2017,Київська,
2018,Київська,
2019,Київська,33.6
2020,Київська,45.0
2015,Кіровоградська,
2016,Кіровоградська,
2017,Кіровоградська,
2018,Кіровоградська,
2019,Кіровоградська,33.0
2020,Кіровоградська,59.3
2015,Луганська,
2016,Луганська,
2017,Луганська,
2018,Луганська,
2019,Луганська,49.2
2020,Луганська,69.2
2015,Львівська,
2016,Львівська,
2017,Львівська,
2018,Львівська,
2019,Львівська,35.5
2020,Львівська,50.5
2015,Миколаївська,
2016,Миколаївська,
2017,Миколаївська,
2018,Миколаївська,
2019,Миколаївська,46.2
2020,Миколаївська,84.4
2015,Одеська,
2016,Одеська,
2017,Одеська,
2018,Одеська,
2019,Одеська,50.1
2020,Одеська,132.5
2015,Полтавська,
2016,Полтавська,
2017,Полтавська,
2018,Полтавська,
2019,Полтавська,35.8
2020,Полтавська,47.7
2015,Рівненська,
2016,Рівненська,
2017,Рівненська,
2018,Рівненська,
2019,Рівненська,34.7
2020,Рівненська,42.3
2015,Сумська,
2016,Сумська,
2017,Сумська,
2018,Сумська,
2019,Сумська,42.6
2020,Сумська,55.3
2015,Тернопільська,
2016,Тернопільська,
2017,Тернопільська,
2018,Тернопільська,
2019,Тернопільська,52.1
2020,Тернопільська,52.2
2015,Харківська,
2016,Харківська,
2017,Харківська,
2018,Харківська,
2019,Харківська,39.0
2020,Харківська,66.2
2015,Херсонська,
2016,Херсонська,
2017,Херсонська,
2018,Херсонська,
2019,Херсонська,41.8
2020,Херсонська,110.5
2015,Хмельницька,
2016,Хмельницька,
2017,Хмельницька,
2018,Хмельницька,
2019,Хмельницька,69.2
2020,Хмельницька,68.6
2015,Черкаська,
2016,Черкаська,
2017,Черкаська,
2018,Черкаська,
2019,Черкаська,37.0
2020,Черкаська,49.7
2015,Чернівецька,
2016,Чернівецька,
2017,Чернівецька,
2018,Чернівецька,
2019,Чернівецька,30.7
2020,Чернівецька,41.3
2015,Чернігівська,
2016,Чернігівська,
2017,Чернігівська,
2018,Чернігівська,
2019,Чернігівська,45.1
2020,Чернігівська,51.2
2015,місто Київ,
2016,місто Київ,
2017,місто Київ,
2018,місто Київ,
2019,місто Київ,85.6
2020,місто Київ,209.7
