Year,Region,Value
2015,,28.9
2016,,27.4
2017,,26.7
2018,,25.5
2019,,23.4
2020,,24.9
2015,Vinnytsya,22.5
2016,Vinnytsya,20.5
2017,Vinnytsya,23.9
2018,Vinnytsya,21.4
2019,Vinnytsya,17.8
2020,Vinnytsya,22.9
2015,Volyn,26.6
2016,Volyn,21.1
2017,Volyn,24.5
2018,Volyn,27.2
2019,Volyn,25.1
2020,Volyn,19.0
2015,Dnipropetrovsk,31.9
2016,Dnipropetrovsk,31.4
2017,Dnipropetrovsk,28.3
2018,Dnipropetrovsk,27.8
2019,Dnipropetrovsk,27.5
2020,Dnipropetrovsk,30.0
2015,Donetsk,
2016,Donetsk,
2017,Donetsk,
2018,Donetsk,
2019,Donetsk,
2020,Donetsk,
2015,Zhytomyr,31.1
2016,Zhytomyr,37.8
2017,Zhytomyr,27.6
2018,Zhytomyr,22.2
2019,Zhytomyr,23.9
2020,Zhytomyr,27.9
2015,Zakarpattya,26.1
2016,Zakarpattya,23.4
2017,Zakarpattya,25.4
2018,Zakarpattya,22.8
2019,Zakarpattya,19.9
2020,Zakarpattya,25.1
2015,Zaporizhya,36.4
2016,Zaporizhya,37.0
2017,Zaporizhya,35.3
2018,Zaporizhya,37.3
2019,Zaporizhya,31.5
2020,Zaporizhya,37.2
2015,Ivano-Frankivsk,14.5
2016,Ivano-Frankivsk,16.0
2017,Ivano-Frankivsk,15.0
2018,Ivano-Frankivsk,13.7
2019,Ivano-Frankivsk,11.1
2020,Ivano-Frankivsk,11.5
2015,Kyiv,27.3
2016,Kyiv,27.6
2017,Kyiv,30.1
2018,Kyiv,26.5
2019,Kyiv,25.1
2020,Kyiv,27.7
2015,Kirovohrad,33.1
2016,Kirovohrad,33.7
2017,Kirovohrad,30.6
2018,Kirovohrad,33.2
2019,Kirovohrad,35.0
2020,Kirovohrad,30.6
2015,Luhansk,
2016,Luhansk,
2017,Luhansk,
2018,Luhansk,
2019,Luhansk,
2020,Luhansk,
2015,Lviv,20.9
2016,Lviv,21.4
2017,Lviv,19.0
2018,Lviv,18.6
2019,Lviv,16.5
2020,Lviv,16.2
2015,Mykolayiv,28.1
2016,Mykolayiv,22.9
2017,Mykolayiv,29.0
2018,Mykolayiv,24.6
2019,Mykolayiv,31.3
2020,Mykolayiv,23.2
2015,Odesa,38.1
2016,Odesa,34.3
2017,Odesa,33.7
2018,Odesa,32.3
2019,Odesa,26.7
2020,Odesa,27.5
2015,Poltava,37.4
2016,Poltava,36.5
2017,Poltava,33.3
2018,Poltava,30.1
2019,Poltava,26.9
2020,Poltava,29.4
2015,Rivne,25.1
2016,Rivne,16.5
2017,Rivne,20.1
2018,Rivne,19.7
2019,Rivne,17.8
2020,Rivne,21.1
2015,Sumy,37.7
2016,Sumy,35.6
2017,Sumy,38.8
2018,Sumy,29.1
2019,Sumy,25.5
2020,Sumy,31.5
2015,Ternopil,13.9
2016,Ternopil,15.6
2017,Ternopil,16.9
2018,Ternopil,13.5
2019,Ternopil,15.3
2020,Ternopil,12.4
2015,Kharkiv,35.3
2016,Kharkiv,29.9
2017,Kharkiv,29.0
2018,Kharkiv,28.5
2019,Kharkiv,23.3
2020,Kharkiv,26.7
2015,Kherson,49.1
2016,Kherson,41.8
2017,Kherson,41.5
2018,Kherson,41.0
2019,Kherson,37.1
2020,Kherson,37.5
2015,Khmelnytskiy,22.3
2016,Khmelnytskiy,22.7
2017,Khmelnytskiy,23.2
2018,Khmelnytskiy,26.5
2019,Khmelnytskiy,24.2
2020,Khmelnytskiy,21.2
2015,Cherkasy,30.0
2016,Cherkasy,30.1
2017,Cherkasy,28.8
2018,Cherkasy,27.2
2019,Cherkasy,25.2
2020,Cherkasy,28.8
2015,Chernivtsi,14.5
2016,Chernivtsi,8.5
2017,Chernivtsi,12.9
2018,Chernivtsi,11.4
2019,Chernivtsi,11.9
2020,Chernivtsi,15.9
2015,Chernihiv,33.0
2016,Chernihiv,35.4
2017,Chernihiv,31.3
2018,Chernihiv,28.5
2019,Chernihiv,32.9
2020,Chernihiv,30.6
2015,Kyiv city,21.8
2016,Kyiv city,21.1
2017,Kyiv city,18.3
2018,Kyiv city,19.8
2019,Kyiv city,15.2
2020,Kyiv city,17.8
