Year,Type of residence,Region,Value
2015,urban,Zhytomyr,
2016,urban,Zhytomyr,61.0
2017,urban,Zhytomyr,86.0
2018,urban,Zhytomyr,92.0
2019,urban,Zhytomyr,47.0
2020,urban,Zhytomyr,52.0
2015,urban,Zakarpattya,
2016,urban,Zakarpattya,61.0
2017,urban,Zakarpattya,105.0
2018,urban,Zakarpattya,121.0
2019,urban,Zakarpattya,52.0
2020,urban,Zakarpattya,51.0
2015,urban,Zaporizhya,
2016,urban,Zaporizhya,44.0
2017,urban,Zaporizhya,65.0
2018,urban,Zaporizhya,64.0
2019,urban,Zaporizhya,59.0
2020,urban,Zaporizhya,65.0
2015,urban,Ivano-Frankivsk,
2016,urban,Ivano-Frankivsk,50.0
2017,urban,Ivano-Frankivsk,89.0
2018,urban,Ivano-Frankivsk,103.0
2019,urban,Ivano-Frankivsk,68.0
2020,urban,Ivano-Frankivsk,76.0
2015,urban,Kyiv,
2016,urban,Kyiv,65.0
2017,urban,Kyiv,93.0
2018,urban,Kyiv,109.0
2019,urban,Kyiv,76.0
2020,urban,Kyiv,77.0
2015,urban,Kirovohrad,
2016,urban,Kirovohrad,36.0
2017,urban,Kirovohrad,66.0
2018,urban,Kirovohrad,77.0
2019,urban,Kirovohrad,41.0
2020,urban,Kirovohrad,44.0
2015,urban,Luhansk,
2016,urban,Luhansk,24.0
2017,urban,Luhansk,44.0
2018,urban,Luhansk,49.0
2019,urban,Luhansk,30.0
2020,urban,Luhansk,36.0
2015,urban,Lviv,
2016,urban,Lviv,68.0
2017,urban,Lviv,87.0
2018,urban,Lviv,103.0
2019,urban,Lviv,67.0
2020,urban,Lviv,73.0
2015,urban,Mykolayiv,
2016,urban,Mykolayiv,64.0
2017,urban,Mykolayiv,90.0
2018,urban,Mykolayiv,102.0
2019,urban,Mykolayiv,55.0
2020,urban,Mykolayiv,55.0
2015,urban,Odesa,
2016,urban,Odesa,139.0
2017,urban,Odesa,156.0
2018,urban,Odesa,165.0
2019,urban,Odesa,80.0
2020,urban,Odesa,89.0
2015,urban,Poltava,
2016,urban,Poltava,41.0
2017,urban,Poltava,69.0
2018,urban,Poltava,81.0
2019,urban,Poltava,51.0
2020,urban,Poltava,50.0
2015,urban,Rivne,
2016,urban,Rivne,55.0
2017,urban,Rivne,88.0
2018,urban,Rivne,103.0
2019,urban,Rivne,71.0
2020,urban,Rivne,77.0
2015,urban,Sumy,
2016,urban,Sumy,36.0
2017,urban,Sumy,62.0
2018,urban,Sumy,72.0
2019,urban,Sumy,64.0
2020,urban,Sumy,65.0
2015,urban,Ternopil,
2016,urban,Ternopil,50.0
2017,urban,Ternopil,88.0
2018,urban,Ternopil,100.0
2019,urban,Ternopil,55.0
2020,urban,Ternopil,57.0
2015,urban,Kharkiv,
2016,urban,Kharkiv,43.0
2017,urban,Kharkiv,62.0
2018,urban,Kharkiv,72.0
2019,urban,Kharkiv,45.0
2020,urban,Kharkiv,44.0
2015,urban,Kherson,
2016,urban,Kherson,42.0
2017,urban,Kherson,72.0
2018,urban,Kherson,81.0
2019,urban,Kherson,60.0
2020,urban,Kherson,60.0
2015,urban,Khmelnytskiy,
2016,urban,Khmelnytskiy,47.0
2017,urban,Khmelnytskiy,78.0
2018,urban,Khmelnytskiy,89.0
2019,urban,Khmelnytskiy,76.0
2020,urban,Khmelnytskiy,77.0
2015,urban,Cherkasy,
2016,urban,Cherkasy,67.0
2017,urban,Cherkasy,95.0
2018,urban,Cherkasy,99.0
2019,urban,Cherkasy,51.0
2020,urban,Cherkasy,52.0
2015,urban,Chernivtsi,
2016,urban,Chernivtsi,48.0
2017,urban,Chernivtsi,89.0
2018,urban,Chernivtsi,103.0
2019,urban,Chernivtsi,54.0
2020,urban,Chernivtsi,42.0
2015,urban,Chernihiv,
2016,urban,Chernihiv,64.0
2017,urban,Chernihiv,89.0
2018,urban,Chernihiv,101.0
2019,urban,Chernihiv,45.0
2020,urban,Chernihiv,54.0
2015,urban,Kyiv city,
2016,urban,Kyiv city,
2017,urban,Kyiv city,
2018,urban,Kyiv city,
2019,urban,Kyiv city,78.0
2020,urban,Kyiv city,86.0
2015,rural,,
2016,rural,,3.0
2017,rural,,5.0
2018,rural,,5.0
2019,rural,,22.0
2020,rural,,34.0
2015,rural,Vinnytsya,
2016,rural,Vinnytsya,3.0
2017,rural,Vinnytsya,4.0
2018,rural,Vinnytsya,4.0
2019,rural,Vinnytsya,13.0
2020,rural,Vinnytsya,21.0
2015,rural,Volyn,
2016,rural,Volyn,2.0
2017,rural,Volyn,2.0
2018,rural,Volyn,2.0
2019,rural,Volyn,41.0
2020,rural,Volyn,46.0
2015,rural,Dnipropetrovsk,
2016,rural,Dnipropetrovsk,3.0
2017,rural,Dnipropetrovsk,3.0
2018,rural,Dnipropetrovsk,3.0
2019,rural,Dnipropetrovsk,26.0
2020,rural,Dnipropetrovsk,39.0
2015,rural,Donetsk,
2016,rural,Donetsk,3.0
2017,rural,Donetsk,4.0
2018,rural,Donetsk,4.0
2019,rural,Donetsk,17.0
2020,rural,Donetsk,34.0
2015,rural,Zhytomyr,
2016,rural,Zhytomyr,3.0
2017,rural,Zhytomyr,4.0
2018,rural,Zhytomyr,6.0
2019,rural,Zhytomyr,13.0
2020,rural,Zhytomyr,26.0
2015,rural,Zakarpattya,
2016,rural,Zakarpattya,2.0
2017,rural,Zakarpattya,2.0
2018,rural,Zakarpattya,3.0
2019,rural,Zakarpattya,24.0
2020,rural,Zakarpattya,28.0
2015,rural,Zaporizhya,
2016,rural,Zaporizhya,4.0
2017,rural,Zaporizhya,6.0
2018,rural,Zaporizhya,6.0
2019,rural,Zaporizhya,32.0
2020,rural,Zaporizhya,38.0
2015,rural,Ivano-Frankivsk,
2016,rural,Ivano-Frankivsk,3.0
2017,rural,Ivano-Frankivsk,4.0
2018,rural,Ivano-Frankivsk,4.0
2019,rural,Ivano-Frankivsk,21.0
2020,rural,Ivano-Frankivsk,34.0
2015,rural,Kyiv,
2016,rural,Kyiv,3.0
2017,rural,Kyiv,3.0
2018,rural,Kyiv,3.0
2019,rural,Kyiv,60.0
2020,rural,Kyiv,74.0
2015,rural,Kirovohrad,
2016,rural,Kirovohrad,1.0
2017,rural,Kirovohrad,2.0
2018,rural,Kirovohrad,2.0
2019,rural,Kirovohrad,10.0
2020,rural,Kirovohrad,16.0
2015,rural,Luhansk,
2016,rural,Luhansk,1.0
2017,rural,Luhansk,1.0
2018,rural,Luhansk,1.0
2019,rural,Luhansk,16.0
2020,rural,Luhansk,22.0
2015,rural,Lviv,
2016,rural,Lviv,4.0
2017,rural,Lviv,6.0
2018,rural,Lviv,8.0
2019,rural,Lviv,32.0
2020,rural,Lviv,49.0
2015,rural,Mykolayiv,
2016,rural,Mykolayiv,1.0
2017,rural,Mykolayiv,2.0
2018,rural,Mykolayiv,2.0
2019,rural,Mykolayiv,15.0
2020,rural,Mykolayiv,27.0
2015,rural,Odesa,
2016,rural,Odesa,6.0
2017,rural,Odesa,6.0
2018,rural,Odesa,7.0
2019,rural,Odesa,19.0
2020,rural,Odesa,30.0
2015,rural,Poltava,
2016,rural,Poltava,6.0
2017,rural,Poltava,8.0
2018,rural,Poltava,8.0
2019,rural,Poltava,13.0
2020,rural,Poltava,31.0
2015,rural,Rivne,
2016,rural,Rivne,3.0
2017,rural,Rivne,5.0
2018,rural,Rivne,4.0
2019,rural,Rivne,25.0
2020,rural,Rivne,36.0
2015,rural,Sumy,
2016,rural,Sumy,2.0
2017,rural,Sumy,2.0
2018,rural,Sumy,3.0
2019,rural,Sumy,12.0
2020,rural,Sumy,23.0
2015,rural,Ternopil,
2016,rural,Ternopil,4.0
2017,rural,Ternopil,5.0
2018,rural,Ternopil,7.0
2019,rural,Ternopil,41.0
2020,rural,Ternopil,49.0
2015,rural,Kharkiv,
2016,rural,Kharkiv,2.0
2017,rural,Kharkiv,4.0
2018,rural,Kharkiv,4.0
2019,rural,Kharkiv,15.0
2020,rural,Kharkiv,25.0
2015,rural,Kherson,
2016,rural,Kherson,3.0
2017,rural,Kherson,4.0
2018,rural,Kherson,5.0
2019,rural,Kherson,21.0
2020,rural,Kherson,44.0
2015,rural,Khmelnytskiy,
2016,rural,Khmelnytskiy,1.0
2017,rural,Khmelnytskiy,2.0
2018,rural,Khmelnytskiy,3.0
2019,rural,Khmelnytskiy,14.0
2020,rural,Khmelnytskiy,24.0
2015,rural,Cherkasy,
2016,rural,Cherkasy,2.0
2017,rural,Cherkasy,3.0
2018,rural,Cherkasy,3.0
2019,rural,Cherkasy,12.0
2020,rural,Cherkasy,28.0
2015,rural,Chernivtsi,
2016,rural,Chernivtsi,3.0
2017,rural,Chernivtsi,4.0
2018,rural,Chernivtsi,3.0
2019,rural,Chernivtsi,14.0
2020,rural,Chernivtsi,19.0
2015,rural,Chernihiv,
2016,rural,Chernihiv,3.0
2017,rural,Chernihiv,3.0
2018,rural,Chernihiv,4.0
2019,rural,Chernihiv,8.0
2020,rural,Chernihiv,12.0
2015,rural,Kyiv city,
2016,rural,Kyiv city,
2017,rural,Kyiv city,
2018,rural,Kyiv city,
2019,rural,Kyiv city,
2020,rural,Kyiv city,
